"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","testSingleResourceNotFound","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResourceNotFound"
"","231","testUpdatePatch","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePatch"
"","227","testUpdatePut","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePut"
"","59","testSingleResource","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResource"
"Получаем список пользователей на странице 2","2473","testListUsers","Surefire suite","Sun Feb 23 15:24:17 GMT 2025","passed","Sun Feb 23 15:24:19 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testListUsers"
"Попытка получить данные несуществующего пользователя","234","testSingleUserNotFound","Surefire suite","Sun Feb 23 15:24:19 GMT 2025","passed","Sun Feb 23 15:24:19 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUserNotFound"
"","3211","testDelayedResponse","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:29 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelayedResponse"
"","225","testLoginSuccessful","Surefire suite","Sun Feb 23 15:24:23 GMT 2025","passed","Sun Feb 23 15:24:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginSuccessful"
"","89","testSingleUser","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUser"
"","199","testUpdatePut","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:31 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePut"
"","83","testListUsers","Surefire suite","Sun Feb 23 15:24:29 GMT 2025","passed","Sun Feb 23 15:24:29 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListUsers"
"","205","testLoginUnsuccessful","Surefire suite","Sun Feb 23 15:24:29 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginUnsuccessful"
"","228","testRegisterSuccessful","Surefire suite","Sun Feb 23 15:24:24 GMT 2025","passed","Sun Feb 23 15:24:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterSuccessful"
"","204","testRegisterSuccessful","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testRegisterSuccessful"
"","77","testListResource","Surefire suite","Sun Feb 23 15:24:29 GMT 2025","passed","Sun Feb 23 15:24:29 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListResource"
"","228","testSingleResourceNotFound","Surefire suite","Sun Feb 23 15:24:24 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResourceNotFound"
"Получаем данные одного пользователя с id 2","88","testSingleUser","Surefire suite","Sun Feb 23 15:24:19 GMT 2025","passed","Sun Feb 23 15:24:19 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUser"
"","232","testLoginUnsuccessful","Surefire suite","Sun Feb 23 15:24:24 GMT 2025","passed","Sun Feb 23 15:24:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginUnsuccessful"
"","66","testSingleUserNotFound","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUserNotFound"
"","3260","testDelayedResponse","Surefire suite","Sun Feb 23 15:24:20 GMT 2025","passed","Sun Feb 23 15:24:23 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelayedResponse"
"","218","testUpdatePatch","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePatch"
"","307","testCreate","Surefire suite","Sun Feb 23 15:24:25 GMT 2025","passed","Sun Feb 23 15:24:25 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testCreate"
"","218","testDelete","Surefire suite","Sun Feb 23 15:24:23 GMT 2025","passed","Sun Feb 23 15:24:23 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelete"
"","216","testLoginSuccessful","Surefire suite","Sun Feb 23 15:24:29 GMT 2025","passed","Sun Feb 23 15:24:29 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginSuccessful"
"","277","testCreate","Surefire suite","Sun Feb 23 15:24:19 GMT 2025","passed","Sun Feb 23 15:24:20 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testCreate"
"","225","testRegisterUnsuccessful","Surefire suite","Sun Feb 23 15:24:24 GMT 2025","passed","Sun Feb 23 15:24:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterUnsuccessful"
"","76","testSingleResource","Surefire suite","Sun Feb 23 15:24:24 GMT 2025","passed","Sun Feb 23 15:24:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResource"
"","214","testRegisterUnsuccessful","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testRegisterUnsuccessful"
"","60","testSingleUserNotFound","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUserNotFound"
"","116","testListUsers","Surefire suite","Sun Feb 23 15:24:23 GMT 2025","passed","Sun Feb 23 15:24:23 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListUsers"
"","62","testListResource","Surefire suite","Sun Feb 23 15:24:23 GMT 2025","passed","Sun Feb 23 15:24:23 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListResource"
"","53","testSingleUser","Surefire suite","Sun Feb 23 15:24:30 GMT 2025","passed","Sun Feb 23 15:24:30 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUser"
"","211","testDelete","Surefire suite","Sun Feb 23 15:24:29 GMT 2025","passed","Sun Feb 23 15:24:29 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelete"
